participant_idx,mdp_idx,skipped,elapsed_minutes,program_evaluations,program,preprocessed_program,programming_exp,programming_game_exp
0,0,False,9.338166666666666,7,1|JRWSLJRWSLLWJS|||,JRWSLJRWSLLWJS||||,None,No
0,1,False,4.0472166666666665,5,113131R111R1R1|WS||L|,11L1L1R111R1R1|WS|||,None,No
0,2,False,6.091666666666667,18,12131|WWWS|LJL|RJR|,1LJL1RJR1|WWWS|||,None,No
0,3,False,6.180733333333333,21,L12131|WSWWS|RJR|LJL|,L1RJR1LJL1|WSWWS|||,None,No
0,4,False,5.693083333333333,14,JWRWSJWWRJWSJRWJS||||,JWRWSJWWRJWSJRWJS||||,None,No
0,5,True,6.5007166666666665,11,,,None,No
0,6,False,5.3255,24,11RJS3R2R3L2L3|JSJ|JJS|WS|,11RJS2R3R2L3L2|JSJ|WS|JJS|,None,No
0,7,False,2.960583333333333,7,L11RJL1R1R1JR1|JS|||,L11RJL1R1R1JR1|JS|||,None,No
0,8,False,5.327616666666667,9,11111WJS|WLJS|||,11111WJS|WLJS|||,None,No
0,9,False,1.62655,4,11JS|JJRSWLJ|||,11JS|JJSRWLJ|||,None,No
1,0,False,1.82515,1,123|JRWS|WLJS|JLWWLJS|,JRWS1JLW1|WLJS|||,None,No
1,1,False,1.84865,2,12|WSWSLWSLWS|RWWSWSRWSRWS||,WSWSLWSLWSRWWSWSRWSRWS||||,None,No
1,2,False,1.2030833333333333,2,1|LJSJRWWWSRJJS|||,LJSJRWWWSRJJS||||,None,No
1,3,False,3.4901,3,1|LWSWWSRJJSRWWSWRJSRWWS|||,LWSWWSRJJSRWWSWRJSRWWS||||,None,No
1,4,False,1.51675,1,JWRWSJRWWJSLJWLJS||||,JWRWSJRWWJSLJWLJS||||,None,No
1,5,False,1.8446833333333332,1,JSJLJSLWWSRJRJSJLJSLWWSRJRJS||||,JSJLJSLWWSRJRJSJLJSLWWSRJRJS||||,None,No
1,6,False,2.4230833333333335,1,RJSWSLJJSLWSRJJSRWSLJLWWLWJSJJS||||,RJSWSLJJSLWSRJJSRWSLJLWWLWJSJJS||||,None,No
1,7,False,1.4722833333333334,2,LJSJSRJLJSRJSRJSJRJS||||,LJSJSRJLJSRJSRJSJRJS||||,None,No
1,8,False,0.8934833333333333,1,WLJSWJLJSLJSWRJS||||,WLJSWJLJSLJSWRJS||||,None,No
1,9,False,0.8003833333333333,1,JJSRWLJJSRWLJJS||2||,JJSRWLJJSRWLJJS||||,None,No
2,0,False,3.3443833333333335,15,JJSJRWWRJSJRWS||||,JJSJRWWRJSJRWS||||,None,No
2,1,False,3.3642666666666665,19,WSWSLWSLWSRWWSWSRWSRWS||||,WSWSLWSLWSRWWSWSRWSRWS||||,None,No
2,2,False,1.57405,7,WWWSLJLWWWSRJRWWWS||||,WWWSLJLWWWSRJRWWWS||||,None,No
2,3,False,4.7717,25,LWSWWSJRWWJRJSWRJSLWLJSRRJLWS||||,LWSWWSJRWWRJSWRJSLWLJSRRJLWS||||,None,No
2,4,False,2.33005,12,JWWRWSJWWRJWSJRWJS||||,JWRWSJWWRJWSJRWJS||||,None,No
2,5,False,4.293433333333334,26,LJSJJSJRJSRWLWSRJRJSLWLWSRJRJS||||,LJSJJSJRJSRWLWSRJRJSLWLWSRJRJS||||,None,No
2,6,False,3.6016,26,RJSWSLJLWJSRJJSJRJSWSRJJSRWS||||,RJSWSLJLWJSRJJSJRJSWSRJJSRWS||||,None,No
2,7,False,1.83755,16,LJSJSRJRJSLJLJSJSLJS||||,LJSJSRJRJSLJLJSJSLJS||||,None,No
2,8,False,1.3915333333333333,10,WLJSWJLJSLJSWRJS||||,WLJSWJLJSLJSWRJS||||,None,No
2,9,False,1.4125,13,JJSRWLJJSRWLJJS||||,JJSRWLJJSRWLJJS||||,None,No
3,0,True,3.7457333333333334,8,,,None,No
3,1,True,5.8501,11,,,None,No
3,2,False,6.444,24,LJSRWSWSWSLJSRWWJSRWSWSRWS||||,LJSRWWWLJSRJRWWRWS||||,None,No
3,3,False,6.6085,22,24||JSLWSWSWSLJSLWSWSRJS||RWSWSWSRWSWSWRJSWSWS,JSLWWSWLJSLWWSRJRWWWRWWWRJSWWS||||,None,No
3,4,True,3.538683333333333,5,,,None,No
3,5,True,3.5333833333333335,10,,,None,No
3,6,True,3.5574666666666666,13,,,None,No
3,7,True,3.5280833333333335,5,,,None,No
3,8,True,3.5425333333333335,3,,,None,No
3,9,True,3.601783333333333,3,,,None,No
4,0,False,3.8169666666666666,2,JJSJRWWRJSJRWS|JJ|||,JJSJRWWRJSJRWS||||,None,No
4,1,False,3.1507666666666667,1,WL1RWR1|3WW3||SWS|,WL1RWR1|2WW2|SWS||,None,No
4,2,False,0.7349666666666667,1,1LJL1RJR1|WWWS|||,1LJL1RJR1|WWWS|||,None,No
4,3,False,3.774033333333333,6,1JJSLWWSLJLWS|JSJLWSWWSL|||,JSJLWSWWSLJJSLWWSLJLWS||||,None,No
4,4,False,1.6949666666666667,3,1RWL1WR1|JWRWSJ|||,1RWL1WR1|JWRWSJ|||,None,No
4,5,False,2.71215,2,L12R1JSRWWS|22R|JSJ||,L12R1JSRWWS|22R|JSJ||,None,No
4,6,False,2.303366666666667,5,1JRJSJ1RJ1LWSLJ1|JSJJS|||,1JRJS1RJ1LWSLJ1|JSJJS|||,None,No
4,7,False,4.26055,3,2RJRJSLJ2LJS||LJSJS||,1RJRJSLJ1LJS|LJSJS|||,None,No
4,8,False,1.7044,1,W2JLJS2RJS||LJSW||,W1JLJS1RJS|LJSW|||,None,No
